club_id,pretty_name,national_team_players,stadium_name,stadium_seats,coach_name
1032,Fc Reading,6,Select Car Leasing Stadium,24161,Brian McDermott
2323,Orduspor,0,19 Eylül Stadyum,11024,Héctor Cúper
1387,Acn Siena 1904,2,Artemio Franchi,15373,Serse Cosmi
1071,Wigan Athletic,6,DW Stadium,25133,Roberto Martínez
2703,Spartak Vladikavkaz,0,Republican Stadium Spartak,32464,Vladimir Gazzaev
142,Real Saragossa,0,La Romareda,33068,Manolo Jiménez
566,Beerschot Ac,0,Olympisch Stadion,12771,Adrie Koster
1436,Sc Beira Mar,0,Estádio Mário Duarte,12000,Ulisses Morais
4750,Sc Olhanense,0,Estádio José Arcanjo,10080,Abel Xavier
23,Eintracht Braunschweig,0,EINTRACHT-Stadion,23325,Torsten Lieberknecht
2227,Sk Tavriya Simferopol,0,RS Lokomotiv,19978,Giannis Christopoulos
12438,Volga Nizhniy Novgorod,0,Zentralstadion Lokomotiv,17856,Yuriy Kalitvintsev
2292,Elazigspor,0,Elazığ Doğukent Stadı,2500,Trond Sollied
1210,As Livorno,0,Armando Picchi,19238,Davide Nicola
1627,Catania Calcio,0,Cibali - Angelo Massimino,20016,Rolando Maran
16245,Fk Sevastopol,0,SK Sevastopol,5826,Oleg Kononov
1423,Fc Valenciennes,2,Stade du Hainaut,25000,Daniel Sanchez
750,Fc Sochaux Montbeliard,3,Stade Auguste-Bonal,20005,Eric Hély
1411,Raec Mons,0,Charles Tondreau Stadion,12662,Enzo Scifo
5572,Niki Volou,1,Panthessaliko Stadio,22700,Wiljan Vloet
20698,Balikesirspor,1,Balıkesir Atatürk,15800,Ismail Ertekin
6894,Kayseri Erciyesspor,0,Kayseri Atatürk Spor Kompleksi Yan Açık Saha,2000,Hikmet Karaman
1429,Cesena Fc,1,Orogel Stadium - Dino Manuzzi,23860,Pierpaolo Bisoli
5220,Gs Ergotelis,1,Pankritio Stadio,25780,Juan Ferrando
2783,Metalurg Donetsk,0,Metalurg,5090,Volodymyr Pyatenko
204,Lierse Sk,0,Herman Vanderpoortenstadion,14538,Stanley Menzo
993,Fc Cordoba,0,Nuevo Arcángel,21822,Albert Ferrer
20100,Fc Vestsjaelland,0,Harboe Arena,10000,Michael Hansen
1039,Queens Park Rangers,9,Kiyan Prince Foundation Stadium,18360,Harry Redknapp
3327,Fc Penafiel,0,Estádio Municipal 25 de Abril,5230,Ricardo Chéu
14171,Thonon Evian Grand Geneve Fc,1,Stade Joseph-Moynat,0,Pascal Dupraz
1455,Fc Dordrecht,0,Riwal Hoogwerkers Stadion,4235,Ernie Brandts
976,Cf Uniao Madeira,0,Centro Desportivo da Madeira,2500,Luís Norton de Matos
11126,Mordovia Saransk,0,Mordovia Arena,44442,Andrey Gordeev
3558,Gfc Ajaccio,0,Stade Ange-Casanova,4050,Thierry Laurey
6994,"Metalurg Zaporizhya Bis 2016 ",0,Slavutych Arena,11883,Anatoliy Chantsev
6996,Goverla Uzhgorod,0,Avangard,10640,Vyacheslav Groznyi
28956,Ael Kalloni,0,Stadio Mytilinis,4000,Thalis Theodoridis
4102,Carpi Fc 1909,0,Sandro Cabassi,5510,Fabrizio Castori
7185,Panthrakikos Komotini,1,Stadio Komotinis OPAP,5601,José Manuel Roca
3216,Mersin Idmanyurdu,0,Mersin Stadyumu,25000,Mesut Bakkal
825,Eskisehirspor,0,Eskişehir Yeni Stadyum,34930,Ilhan Mayakan
6414,Metalist Kharkiv,0,OSK Metalist,38685,Oleksandr Sevidov
2439,Kuban Krasnodar,0,Kuban Stadium,31654,Dmitri Khokhlov
2990,Academica Coimbra,2,Estádio Cidade de Coimbra,29744,José Viterbo
3691,Tom Tomsk,0,Trud,10028,Valeri Petrakov
2451,Inverness Caledonian Thistle Fc,0,Tulloch Caledonian Stadium,7750,Richie Foran
105,Sv Darmstadt 98,2,Merck-Stadion am Böllenfalltor,17400,Norbert Meier
4482,Volyn Lutsk,0,Stadion Avangard,12080,Vitaliy Kvartsyanyi
339,Dnipro Dnipropetrovsk,0,Meteor,24381,Dmytro Mykhaylenko
4795,Fc Ingolstadt 04,2,Audi Sportpark,15800,Markus Kauczinski
6,Adanaspor,1,Yeni Adana Stadyumu,33000,Engin Ipekoglu
2079,Veria Nps,0,Dimotiko Stadio Verias,6350,Dimitrios Eleftheropoulos
524,Gaziantepspor,0,Gaziantep Stadyumu,33502,Ismail Kartal
2921,Delfino Pescara 1936,1,Adriatico,20476,Massimo Oddo
47,Iraklis Thessaloniki,0,Kaftanzoglio Stadio,27770,Nikolaos Papadopoulos
458,Palermo Fc,0,"Comunale Renzo Barbera ""La Favorita""",36365,Davide Ballardini
289,Afc Sunderland,3,Stadium of Light,48707,Sam Allardyce
641,Fc Middlesbrough,5,Riverside Stadium,33746,Aitor Karanka
3008,Hull City,3,KCOM Stadium,24983,Steve Bruce
1159,As Nancy Lorraine,4,Stade Marcel-Picot,20087,Pablo Correa
2448,Sporting Gijon,4,El Molinón - Enrique Castro Quini,30000,Abelardo
595,Sc Bastia,2,Stade Armand-Cesari,16480,François Ciccolini
41,Hamburger Sv,1,Volksparkstadion,57000,Markus Gisdol
3690,Ska Khabarovsk,2,Lenin Stadion,15200,Aleksey Poddubskiy
192,Roda Jc Kerkrade,1,Parkstad Limburg Stadion,19979,Robert Molenaar
1084,Fc Malaga,0,La Rosaleda,30044,Míchel
8838,Zirka Kropyvnytskyi,0,Zirka,14628,Roman Monarev
22110,Fc Helsingor,3,Helsingør Ny Stadion,4000,Christian Lönstrup
16247,Pfk Stal Kamyanske,0,Obolon,5100,Eghishe Melikyan
2944,Ankaraspor,0,Osmanlı Stadı,19626,Bülent Uygun
1506,Kardemir Karabukspor,0,Dr. Necmettin Şeyhoğlu,12400,Erkan Sözeri
21957,Ao Platanias,0,Dimotiko Gipedo Perivolia,3700,Georgios Paraschos
5219,Aok Kerkyra,0,Ethniko Stadio Kerkyras,3000,Dimitrios Eleftheropoulos
2760,Partick Thistle Fc,0,The Energy Check Stadium at Firhill,10102,Alan Archibald
897,Deportivo La Coruna,0,Riazor,32912,Pepe Mel
472,Ud Las Palmas,1,Estadio de Gran Canaria,32400,Manolo Márquez
512,Stoke City,7,bet365 Stadium,30089,Mark Hughes
2288,Swansea City,3,Liberty Stadium,21088,Paul Clement
40426,Fk Tosno,0,Petrovsky,20985,Dmitri Parfenov
4128,Amkar Perm,0,Zvezda,17000,Gadzhi Gadzhiev
498,Ksc Lokeren,0,Daknamstadion,12000,Peter Maes
2700,Anzhi Makhachkala,0,RDYuSSh MinObrNauki RD Politekh Makhachkala,1600,Magomed Adiev
642,De Graafschap Doetinchem,1,De Vijverberg,12600,Henk de Jong
19657,Vendsyssel Ff,0,Nord Energi Arena,10000,Jens Berthel Askou
862,Chievo Verona,0,Marcantonio Bentegodi,31045,Lorenzo D'Anna
8970,Frosinone Calcio,1,Benito Stirpe,16227,Moreno Longo
19771,Akhisarspor,0,Spor Toto Akhisar Stadyumu,12139,Safet Susic
20,Bursaspor,2,Bitci Timsah Park,43331,Samet Aybaba
9007,Arsenal Kiew,0,NSK Olimpisky,70050,Fabrizio Ravanelli
132,Nac Breda,5,Rat Verlegh Stadion,19000,Jo Jansen
855,Ea Guingamp,4,Stade du Roudourou,18120,Antoine Kombouaré
603,Cardiff City,5,Cardiff City Stadium,33280,Neil Warnock
1162,Sm Caen,2,Stade Michel-d'Ornano,20500,Fabien Mercadal
1110,Huddersfield Town,2,John Smith's Stadium,24500,David Wagner
3714,Enisey Krasnoyarsk,1,Zentralstadion Krasnoyarsk,15000,Dmitri Alenichev
42,Hannover 96,1,HDI-Arena,49000,André Breitenreiter
4,1 Fc Nurnberg,1,Max-Morlock-Stadion,50000,Michael Köllner
3349,Cd Feirense,3,Estádio Marcolino de Castro,5401,Nuno Manta Santos
169,Panionios Athen,0,Stadio Neas Smyrnis,11700,Apostolos Mantzios
19,Brescia Calcio,3,Mario Rigamonti,19550,Eugenio Corini
2722,Spal,2,Paolo Mazza,16134,Leonardo Semplici
128,Ao Xanthi,1,Xanthi Arena,7361,Kiko Ramírez
5818,Hobro Ik,1,DS Arena,7500,Peter Sörensen
3426,Esbjerg Fb,5,Blue Water Arena,16942,John Lammers
2477,Karpaty Lviv,0,Stadion Ukraina,28051,Oleksandr Chyzhevskyi
1244,Cd Leganes,3,Municipal de Butarque,12454,Mauricio Pellegrino
38,Fortuna Dusseldorf,3,MERKUR SPIEL-ARENA,54600,Friedhelm Funkel
1416,Amiens Sc,6,Stade Crédit Agricole la Licorne,12999,Luka Elsner
127,Sc Paderborn 07,3,Benteler-Arena,15000,Steffen Baumgart
1085,Vitoria Setubal Fc,3,Estádio do Bonfim,18642,Sandro Mendes
3336,Desportivo Aves,0,Estádio CD das Aves,5441,Augusto Inácio
982,Cd Nacional,3,Estádio da Madeira,5586,Luis Antonio Zaluar
29228,Royal Excel Mouscron,3,Le Canonnier,10830,Fernando Da Cruz
1160,Nimes Olympique,7,Stade des Costières,18364,Jérôme Arpinon
1426,Vvv Venlo,0,Covebo Stadion - De Koel,8000,Hans de Koning
23611,Olimpik Donetsk,0,NTK im. B. M. Bannikova,1678,Igor Klymovskyi
2999,Hamilton Academical Fc,1,Fountain of Youth Stadium,6018,Brian Rice
833,Denizlispor,1,Denizli Atatürk Stadı,18745,Robert Prosinecki
39722,Buyuksehir Belediye Erzurumspor,3,Erzurum Kazım Karabekir,23700,Mehmet Özdilek
4171,Benevento Calcio,3,Ciro Vigorito,16867,Filippo Inzaghi
4083,Fc Crotone,5,Ezio Scida,16640,Giovanni Stroppa
130,Parma Calcio 1913,3,Ennio Tardini,22352,Roberto D'Aversa
820,Genclerbirligi Ankara,0,Eryaman Stadyumu,20560,Mert Nobre
4603,Ae Larisa,1,Stadio Alkazar,13108,Michalis Grigoriou
1268,Ado Den Haag,0,Cars Jeans Stadion,15000,Aleksandar Rankovic
984,West Bromwich Albion,6,The Hawthorns,26850,Slaven Bilic
1533,Sd Eibar,0,Ipurua,8164,José Luis Mendilibar
5358,Sd Huesca,3,El Alcoraz,9128,Míchel
350,Sheffield United,7,Bramall Lane,32702,Chris Wilder
2969,Dijon Fco,4,Stade Gaston-Gérard,16098,Stéphane Jobard
28643,Waasland Beveren,2,Freethielstadion,13290,Nicky Hayen
3609,Rotor Volgograd,1,Volgograd Arena,45568,Aleksandr Khatskevich
41201,Pfk Tambov,0,Mordovia Arena,44149,Sergey Pervushin
4294,Sc Farense,3,Estádio São Luís,15000,Sérgio Vieira
347,Fc Metz,7,Stade Saint-Symphorien,26700,László Bölöni
65,Spvgg Greuther Furth,2,Sportpark Ronhof | Thomas Sommer,16626,Stefan Leitl
511,Dundee Fc,1,Kilmac Stadium at Dens Park,11850,Gary Bowyer
443,Vejle Boldklub,3,Vejle Stadion,10418,Ivan Prelec
1132,Fc Burnley,9,Turf Moor,21994,Mike Jackson
19789,Yeni Malatyaspor,4,Yeni Malatya Stadyumu,25745,Cihat Arslan
441,Apollon Smyrnis,1,"Gipedo Rizoupolis ""Georgios Kamaras""",14200,Babis Tennes
607,Venezia Fc,10,Pier Luigi Penzo,11150,Ivan Javorcic
2375,Altay Sk,4,Alsancak Mustafa Denizli Stadı,15000,Sinan Kaloglu
1467,Goztepe,3,Gürsel Aksel Stadyumu,19713,Serdar Sabuncu
126,Caykur Rizespor,5,Çaykur Didi,15332,Bülent Korkmaz
1390,Cagliari Calcio,6,Unipol Domus,16416,Fabio Liverani
252,Genua Cfc,8,Luigi Ferraris,34901,Alexander Blessin
5817,Sonderjyske,4,Sydbank Park,10000,Henrik Hansen
16239,Desna Chernigiv,0,Stadion im. Yuriya Gagarina,12060,Oleksandr Ryabokon
6993,Fk Mariupol,0,Stadion im. Volodymyra Boyko,12680,Ostap Markevych
1123,Norwich City,15,Carrow Road,27244,Dean Smith
1010,Fc Watford,18,Vicarage Road,21577,Roy Hodgson
1108,Deportivo Alaves,2,Mendizorrotza,19840,Luis García
16795,Fc Granada,4,Nuevo Los Cármenes,19336,Aitor Karanka
10,Arminia Bielefeld,5,SchücoArena,26515,Marco Kostmann
41274,"Beerschot V A ",2,Olympisch Stadion,12771,Greg Vanderidt
979,Moreirense Fc,2,E. C. J. de Almeida Freitas,6153,Ricardo Sá Pinto
2457,Belenenses Sad,4,Estádio das Seixas,12500,Franclim Carvalho
3368,Ud Levante,4,Ciutat de València,25354,Mehdi Nafti
403,Willem Ii Tilburg,0,Koning Willem II Stadion,14700,Kevin Hofland
1269,Pec Zwolle,3,MAC³PARK stadion,14000,Dick Schreuder
1304,Heracles Almelo,1,Erve Asito,12080,René Kolmschot
7179,Cd Tondela,5,Estádio João Cardoso,5000,Nuno Campos
3729,Arsenal Tula,3,Arsenal,19241,Oleg Kononov
2698,Rubin Kazan,4,Ak Bars Arena,45379,Leonid Slutski
28095,Fk Ufa,2,BetBoom Arena,15132,Sergey Tomarov
40,Fc Girondins Bordeaux,11,Matmut Atlantique,42052,David Guion
618,As Saint Etienne,8,Stade Geoffroy-Guichard,42000,Laurent Batlles
317,Fc Twente Enschede,4,De Grolsch Veste,30205,Ron Jans
1124,Fakel Voronezh,0,Central Stadium of Profsoyuzes,21793,Dmitri Pyatibratov
798,Sbv Excelsior Rotterdam,1,Van Donge & De Roo Stadion - Woudestein,4400,Marinus Dijkhuizen
234,Feyenoord Rotterdam,12,"Stadion Feyenoord ""De Kuip""",47500,Arne Slot
33,Fc Schalke 04,4,Veltins-Arena,62271,Frank Kramer
2414,Ac Horsens,3,Casa Arena Horsens,10400,Jens Berthel Askou
1090,Az Alkmaar,7,AFAS Stadion,19478,Pascal Jansen
2715,Rfc Seraing,5,Stade du Paray,6744,José Jeunechamps
3508,Sv Zulte Waregem,3,Elindus Arena,12250,Mbaye Leye
80,Vfl Bochum,8,Vonovia Ruhrstadion,26000,Thomas Letsch
465,St Mirren Fc,6,The SMISA Stadium,8023,Stephen Robinson
475,Vv St Truiden,3,Stayen,14600,Bernd Hollerbach
46,Inter Mailand,16,Giuseppe Meazza,75923,Simone Inzaghi
1245,Kas Eupen,7,Kehrweg-Stadion,8331,Bernd Storck
383,Psv Eindhoven,8,Philips Stadion,35000,Ruud van Nistelrooy
11688,Giresunspor,2,Çotanak Spor Kompleksi,21500,Hakan Keles
2759,Ross County Fc,1,Global Energy Stadium,6541,Malky Mackay
10484,Kasimpasa,5,Recep Tayyip Erdoğan Stadyumu,13856,Senol Can
610,Ajax Amsterdam,17,Johan Cruijff ArenA,55600,Alfred Schreuder
3205,Kayserispor,3,Büyükşehir Belediyesi Kadir Has,32864,Cagdas Atan
868,Mke Ankaragucu,4,Eryaman Stadyumu,20560,Ömer Erdogan
11282,Alanyaspor,5,Alanya Oba Stadyumu,10128,Francesco Farioli
2293,Konyaspor,6,Medaş Konya Büyükşehir Stadyumu,42000,Ilhan Palut
2381,Sivasspor,5,Yeni 4 Eylül Stadı,27532,Riza Calimbay
924,Istanbulspor,1,Esenyurt Necmi Kadıoğlu Stadyumu,7500,Osman Zeki Korkmaz
7775,Hatayspor,8,Yeni Hatay Stadyumu,25000,Volkan Demirel
6890,Istanbul Basaksehir Fk,6,Başakşehir Fatih Terim,17156,Emre Belözoglu
114,Besiktas Istanbul,8,Vodafone Park,42590,Valérien Ismaël
449,Trabzonspor,13,Şenol Güneş Spor Kompleksi,40782,Abdullah Avci
6646,Fatih Karagumruk,6,Atatürk Olimpiyat,74753,Andrea Pirlo
36,Fenerbahce Istanbul,15,Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi,47834,Jorge Jesus
24245,Umraniyespor,2,Ümraniye Belediyesi Şehir Stadı,2500,Recep Ucar
